koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_model_snr
FALSE POSITIVE,0,1,0,0,10.328035714,7.7915,16918.0,0.281,13.28,843,119.31,5627,4.359,1.024,636.8
CONFIRMED,0,0,0,0,143.2063047,8.9302,10566.0,0.379,8.9,308,2.14,5485,4.556,0.867,138.8
CONFIRMED,0,0,0,0,6.164876,3.262,55.8,0.646,0.79,1021,256.35,5854,4.406,1.012,14.4
CONFIRMED,0,0,0,0,60.32494216,6.6188,20280.0,0.224,12.19,411,6.77,5485,4.556,0.867,347.2
CONFIRMED,0,0,0,0,29.1598615,4.803,488.0,0.3619,1.91,524,17.85,5485,4.556,0.867,11.6
FALSE POSITIVE,0,0,1,1,1.540397253,2.1541,816.1,1.225,25.69,1470,1105.68,5663,4.53,0.915,38.8
FALSE POSITIVE,0,0,1,1,2.99025443,5.414,589.2,0.014,1.7,918,168.45,4667,4.578,0.731,48.5
CONFIRMED,0,0,0,0,1.594745374,1.9604,15044.0,0.514,11.3,1539,1329.42,5934,4.491,0.893,1009.3
CONFIRMED,0,0,0,0,4.783002698,2.335,1008.7,0.003,2.5,886,145.48,5170,4.574,0.807,70.6
CONFIRMED,0,0,0,0,20.50588921,4.0595,2105.5,0.26,3.41,518,17.06,4905,4.544,0.761,78.5
CONFIRMED,0,0,0,0,3.340218842,1.9104,1632.6,0.466,2.03,656,43.73,3950,4.754,0.493,71.6
FALSE POSITIVE,0,1,1,0,2.507089906,2.0067,1339.2,1.255,30.26,1326,730.47,5926,4.506,0.939,64.9
CONFIRMED,0,0,0,0,18.64932728,4.4056,893.6,0.08,3.12,701,57.13,5775,4.405,1.053,46.1
CONFIRMED,0,0,0,0,4.90144976,4.1654,140.7,0.529,1.7,1262,598.74,5847,4.191,1.402,50.6
CONFIRMED,0,0,0,0,9.75192101,4.793,418.0,0.949,2.76,870,135.66,5775,4.405,1.053,28.5
CONFIRMED,0,0,0,0,38.5576546,5.794,993.0,0.911,4.02,550,21.71,5775,4.405,1.053,39.7
CONFIRMED,0,0,0,0,3.525632539,2.59959,22335.0,0.12,11.58,975,213.12,5150,4.572,0.793,1996.7
CANDIDATE,0,0,0,0,34.84398644,2.9315,4523.6,0.934,7.61,511,16.1,5509,4.482,0.871,76.8
CONFIRMED,0,0,0,0,7.748094239,3.5957,2472.1,0.517,5.52,964,204.39,5973,4.439,1.085,113.2
CONFIRMED,0,0,0,0,23.96793669,3.827,1182.3,0.416,1.8,329,2.77,3747,4.728,0.524,27.5
CONFIRMED,0,0,0,0,8.29561738,1.3421,824.3,0.888,1.82,469,11.39,3747,4.728,0.524,17.9
CONFIRMED,0,0,0,0,8.11437482,2.2736,1558.0,0.573,2.1,460,10.55,3692,4.753,0.517,56.4
FALSE POSITIVE,0,1,0,0,38.036729482,4.34617,82872.0,0.501,27.5,500,14.81,5575,4.521,0.932,1300.0
CANDIDATE,0,0,0,0,4.64090031,30.64,2450.6,1.28,30.09,1155,421.08,6463,4.5,0.826,296.9
FALSE POSITIVE,0,1,1,1,3.747838198,5.0642,616.0,1.121,13.65,1031,266.76,5514,4.569,0.826,138.2
CONFIRMED,0,0,0,0,14.74914825,6.0995,430.2,0.173,2.89,874,137.91,5847,4.191,1.402,107.4
CONFIRMED,0,0,0,0,21.81295996,4.3791,1175.4,0.053,3.38,639,39.33,5601,4.41,0.999,37.8
FALSE POSITIVE,0,1,0,0,7.91936937,3.3148,15148.0,0.733,10.34,814,104.0,5690,4.588,0.776,389.0
CANDIDATE,0,0,0,0,1.028436523,1.8606,8098.0,1.5734,72.77,1947,3400.48,6228,4.428,0.99,89.6
CONFIRMED,0,0,0,0,15.37562369,3.3169,15337.0,0.692,11.01,600,30.54,4986,4.496,0.833,166.0
CONFIRMED,0,0,0,0,8.10363271,3.161,887.9,0.047,2.11,687,52.82,4861,4.574,0.732,39.3
CONFIRMED,0,0,0,0,4.71510843,2.506,417.5,0.258,1.46,823,108.84,4861,4.574,0.732,21.3
CONFIRMED,0,0,0,0,6.365839713,2.9721,780.7,0.524,2.44,914,165.33,5776,4.554,0.849,70.8
FALSE POSITIVE,0,0,1,0,5.97581754,3.065,962.4,0.941,3.86,1047,284.25,6108,4.471,0.997,50.3
FALSE POSITIVE,0,0,1,1,2.446737317,4.7211,1177.9,1.241,26.25,1261,597.19,5764,4.548,0.863,110.2
CONFIRMED,0,0,0,0,3.04033046,1.8411,10859.0,0.736,8.99,1021,257.29,5035,4.519,0.791,568.2
CONFIRMED,0,0,0,0,15.33528675,3.897,3081.4,0.773,5.0,610,32.67,5251,4.581,0.817,86.6
CONFIRMED,0,0,0,0,7.95825328,4.377,50.0,0.706,1.06,1074,314.15,5847,4.191,1.402,14.7
CONFIRMED,0,0,0,0,31.33046135,5.176,5073.8,0.798,6.5,481,12.61,5251,4.581,0.817,117.2
FALSE POSITIVE,0,1,0,0,3.9043425,3.831,16228.0,0.709,12.28,1104,351.05,5810,4.526,0.898,323.4
FALSE POSITIVE,0,1,0,0,9.286358079,3.49949,44791.0,0.377,17.61,796,95.03,5670,4.523,0.821,1671.1
FALSE POSITIVE,0,1,0,0,3.951405455,2.1862,2453.9,1.276,31.44,1133,388.71,6046,4.539,0.869,117.2
CONFIRMED,0,0,0,0,23.65369415,8.2183,3341.8,0.008,7.89,731,67.65,5739,4.191,1.384,266.3
CONFIRMED,0,0,0,0,13.23352214,6.7372,504.6,0.014,3.06,888,146.67,5739,4.191,1.384,49.1
CONFIRMED,0,0,0,0,6.15560285,4.9843,285.0,0.235,2.32,1146,406.94,5739,4.191,1.384,35.1
CONFIRMED,0,0,0,0,2.090811305,3.388,115.9,0.746,1.62,1642,1718.04,5739,4.191,1.384,19.9
CONFIRMED,0,0,0,0,3.180027898,3.5797,120.3,0.196,1.53,1458,1066.86,5847,4.191,1.402,50.4
CONFIRMED,0,0,0,0,50.4467417,7.159,370.3,0.379,2.67,568,24.64,5739,4.191,1.384,19.4
CONFIRMED,0,0,0,0,11.76307164,2.9076,1037.3,0.048,2.35,616,33.99,4959,4.603,0.756,48.9
CONFIRMED,0,0,0,0,56.2279271,3.57,862.7,0.7,2.37,366,4.22,4959,4.603,0.756,20.9
FALSE POSITIVE,0,1,1,1,2.384052875,3.0918,1268.1,1.178,17.06,1010,244.87,4794,4.58,0.701,50.5
CONFIRMED,0,0,0,0,7.953547,2.6312,875.4,0.3,2.25,696,55.37,4768,4.536,0.779,38.4
CONFIRMED,0,0,0,0,4.14451656,2.3421,391.8,0.004,1.48,864,132.08,4768,4.536,0.779,22.8
FALSE POSITIVE,0,1,0,0,4.859386384,2.2757,6044.3,1.259,38.33,1114,364.23,6072,4.47,0.988,269.7
CONFIRMED,0,0,0,0,10.526294577,2.5211,9768.0,0.644,8.24,713,61.16,5386,4.553,0.793,482.3
CONFIRMED,0,0,0,0,4.583520948,2.7055,3812.1,0.045,5.39,1038,274.98,5815,4.54,0.877,99.5
CONFIRMED,0,0,0,0,3.76181843,3.5176,510.6,0.926,2.66,1121,372.62,5653,4.472,0.949,35.9
CONFIRMED,0,0,0,0,8.20396958,2.9667,1024.4,0.823,3.01,742,71.5,5015,4.499,0.826,54.4
CONFIRMED,0,0,0,0,14.49645186,4.016,647.5,0.97,3.01,613,33.48,5015,4.499,0.826,25.7
CONFIRMED,0,0,0,0,6.54626149,2.75,655.9,0.644,2.19,810,101.78,5251,4.581,0.817,24.8
CONFIRMED,0,0,0,0,12.71809866,3.0957,1149.4,0.427,2.31,562,23.6,4702,4.592,0.686,52.7
CONFIRMED,0,0,0,0,36.06588163,4.3246,1563.8,0.26,2.64,397,5.88,4702,4.592,0.686,51.7
CONFIRMED,0,0,0,0,4.190425659,2.8589,2877.4,0.458,6.21,1234,547.9,6073,4.392,1.135,240.6
CONFIRMED,0,0,0,0,3.709870784,3.0694,2020.3,0.023,4.35,1151,415.1,5727,4.463,0.978,116.1
CONFIRMED,0,0,0,0,16.3297527,6.271,1187.5,0.791,3.75,727,66.08,5878,4.444,0.987,74.6
CONFIRMED,0,0,0,0,27.807566216,4.21587,25391.0,0.782,13.84,554,22.24,5862,4.584,0.785,748.1
CONFIRMED,0,0,0,0,80.8723469,11.195,3604.6,0.527,7.59,452,9.88,5510,4.222,1.238,160.9
FALSE POSITIVE,0,1,1,0,3.166465862,2.9381,4357.2,1.266,26.82,954,196.31,4968,4.575,0.704,122.1
CONFIRMED,0,0,0,0,24.99324319,5.9409,269.6,0.686,2.29,712,60.88,5718,4.181,1.317,62.0
CONFIRMED,0,0,0,0,10.35533116,3.1775,750.6,0.029,2.47,777,86.22,5501,4.462,0.918,49.2
CONFIRMED,0,0,0,0,16.08518937,3.984,1442.4,0.867,3.68,613,33.43,5239,4.523,0.826,62.6
CANDIDATE,0,0,0,0,235.9986399,8.2284,20715.0,0.778,10.59,196,0.35,4245,4.627,0.657,271.8
CONFIRMED,0,0,0,0,7.49018305,2.7297,1123.6,0.02,2.56,753,76.06,5103,4.562,0.787,53.0
CONFIRMED,0,0,0,0,36.2761238,4.7865,1572.6,0.035,3.03,445,9.29,5103,4.562,0.787,45.5
CONFIRMED,0,0,0,0,17.46087931,2.2641,812.4,0.594,2.32,568,24.6,5103,4.562,0.787,22.6
CONFIRMED,0,0,0,0,56.0560754,4.685,1626.0,0.018,1.94,233,0.69,3638,4.757,0.491,27.4
CONFIRMED,0,0,0,0,41.408316686,5.0264,22839.0,0.377,11.38,453,9.93,5522,4.586,0.747,907.8
CANDIDATE,0,0,0,0,39.74893077,7.3051,15179.0,0.881,14.21,552,21.87,6122,4.487,0.964,561.1
CONFIRMED,0,0,0,0,5.715425977,2.5242,908.1,0.348,2.47,850,123.03,5237,4.572,0.826,59.4
CONFIRMED,0,0,0,0,49.18394185,11.3364,1646.2,0.035,8.2,669,47.4,5626,3.907,2.057,355.7
CONFIRMED,0,0,0,0,20.0261412,1.611,421.2,0.957,2.28,559,23.14,5237,4.572,0.826,10.7
CANDIDATE,0,0,0,0,13.61014819,2.594,5732.9,1.081,19.02,733,68.29,5697,4.46,0.903,184.1
